,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR
209,Patton Kizzire,84927655102,63.5269.0463.9664.8567.76,86911068526421244,1368160213329901836,-0.27-0.27-0.31-0.30-0.33
210,Paul Casey,9474795675,70.0667.8470.9670.6368.83,1135867958712892,16201278135010081296,-0.27-0.27-0.30-0.27-0.28
211,Peter Malnati,9187876184,62.4862.9963.9962.5762.78,956941956642904,15301494149410261440,-0.27-0.30-0.30-0.30-0.31
212,Peter Uihlein,838447,67.8866.0367.96,953927526,14041404774,-0.27-0.29-0.30
213,Phil Mickelson,8590635174,62.8564.8864.1763.5162.99,9051016693583839,1440156610809181332,-0.32-0.34-0.30-0.31-0.27
214,Rafa Cabrera Bello,6375715376,62.6970.1662.9963.8462.69,677884771609835,1080126012249541332,-0.26-0.27-0.31-0.28-0.26
215,Rafael Campos,64,63.52,686,1080,-0.27
216,Retief Goosen,5260,63.8961.75,529578,828936,-0.25-0.25
217,Rhein Gibson,5462,65.2262.50,587630,9001008,-0.28-0.27
218,Richy Werenski,8198896094,67.4266.9765.9366.6763.82,8981109985672988,13321656149410081548,-0.25-0.26-0.28-0.30-0.29
219,Rick Lamb,54,66.89,602,900,-0.26
220,Rickie Fowler,7874764478,67.0369.5267.7666.5463.96,917926927527898,1368133213687921404,-0.32-0.30-0.32-0.32-0.28
221,Ricky Barnes,10065,63.5363.75,1052677,16561062,-0.27-0.32
222,Rob Oppenheim,746580,64.0565.2163.81,784716850,122410981332,-0.26-0.24-0.29
223,Robby Shelton,7586,66.9061.18,855881,12781440,-0.27-0.26
224,Robert Garrigus,7880,69.5265.28,901893,12961368,-0.28-0.26
225,Robert Streb,9878805484,65.1964.9466.1367.3364.57,1103865857606953,1692133212969001476,-0.26-0.24-0.26-0.27-0.27
226,Roberto Castro,7076,63.7368.44,780887,12241296,-0.20-0.26
